application_id,customer_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,residential_address,applicant_age,gender,number_of_dependents,loan_status,fraud_flag,fraud_type
41b7f6e0-41f8-4340-85ed-01cceafdcaf5,CUST108741,2023-02-23,Home Loan,391000.0,36,9.91,Home Renovation,Business Owner,88000.0,710,2400.0,2.73,Rented,"07/403, Dada Circle, Rajkot 129832, Jehanabad, Tripura, 921341",22,Female,1,Approved,0,
4a7bb799-8f45-4828-a2cd-c36b61eca295,CUST109070,2024-09-26,Education Loan,548000.0,24,9.83,Business Expansion,Self-Employed,73100.0,717,5400.0,7.39,Rented,"37, Barad Chowk, Sultan Pur Majra 284277, Sri Ganganagar, Arunachal Pradesh, 811881",60,Female,0,Approved,0,
bbb733e4-1936-40c2-88a1-9d74c416c7ff,CUST100288,2022-09-06,Education Loan,664000.0,36,12.83,Business Expansion,Self-Employed,57000.0,790,4100.0,7.19,Owned,"H.No. 795, Sarkar Chowk, Jaipur-437573, Dharmavaram, Sikkim, 972466",57,Female,3,Approved,0,
5e5fd0e9-b21c-4e76-bfa5-684e7b98143d,CUST102599,2023-08-08,Car Loan,314000.0,36,10.39,Wedding,Business Owner,37700.0,663,2700.0,7.16,Jointly Owned,"600, Ravi Zila, Panvel-230738, Solapur, Rajasthan, 212436",56,Male,3,Approved,0,
bc4c5a56-e7a9-40a7-8f5d-88ea7fa6d289,CUST108693,2024-02-16,Business Loan,821000.0,240,12.65,Wedding,Self-Employed,47000.0,663,2800.0,5.96,Rented,"H.No. 15, Dass Path, Hubli–Dharwad 190243, Jhansi, West Bengal, 507070",21,Other,2,Approved,0,
674e4c4c-7fad-4beb-9e4b-51dd91054465,CUST100276,2022-11-14,Car Loan,565000.0,60,8.24,Wedding,Salaried,55000.0,699,3500.0,6.36,Rented,"620, Deep Road, Tadipatri-359710, Guntur, West Bengal, 636694",28,Female,1,Approved,0,
a024c553-168d-4fec-a448-6d12999b091b,CUST107063,2023-11-13,Car Loan,157000.0,360,12.34,Home Renovation,Unemployed,52900.0,620,3400.0,6.43,Rented,"91/64, Soni Zila, Tiruvottiyur 384232, Unnao, Uttarakhand, 021255",32,Other,4,Declined,0,
f225d7d3-e95f-4b96-9bdf-5f9c09321ed4,CUST109840,2025-03-16,Home Loan,730000.0,24,10.79,Wedding,Salaried,22300.0,757,5900.0,26.46,Jointly Owned,"76/553, Sandhu, Siliguri 843009, Hosur, Chhattisgarh, 184991",41,Female,1,Approved,0,
38909088-14d7-42da-9d2b-a0cfe6c1e2f9,CUST118402,2023-11-30,Personal Loan,481000.0,240,8.14,Home Renovation,Salaried,18100.0,773,1600.0,8.84,Jointly Owned,"871, Sood Nagar, Ahmedabad 946255, Tenali, Uttar Pradesh, 872086",27,Female,3,Approved,0,
449126b8-7040-4986-8918-42f01a6354d4,CUST105016,2024-12-20,Business Loan,398000.0,12,8.8,Home Renovation,Business Owner,10000.0,677,3100.0,31.0,Jointly Owned,"55/94, Kumer Nagar, Bhiwandi 070013, South Dumdum, Madhya Pradesh, 734431",45,Male,2,Approved,0,
b58d851e-a634-40c0-ae29-275254ee88e6,CUST115726,2024-04-18,Car Loan,611000.0,360,8.11,Education,Retired,84300.0,671,5500.0,6.52,Owned,"73/399, Dutt Marg, Shimoga-077338, Tirupati, Odisha, 741097",43,Female,4,Approved,0,
7edc9c63-ab05-421b-96eb-32421c504c1a,CUST110573,2022-08-07,Business Loan,458000.0,120,12.35,Medical Emergency,Business Owner,60300.0,683,3500.0,5.8,Jointly Owned,"62, Karnik Chowk, Thanjavur-645150, Meerut, Arunachal Pradesh, 144078",26,Other,1,Approved,0,
a7b6eb6c-5566-4b80-b3a7-6814536b449b,CUST118171,2022-07-08,Business Loan,580000.0,240,12.19,Wedding,Salaried,63500.0,693,4400.0,6.93,Owned,"35/345, Boase Zila, Karaikudi-576117, Nadiad, Maharashtra, 503569",45,Female,0,Approved,0,
c8935a1c-4514-46e2-8b30-e046b3389952,CUST106785,2025-05-04,Car Loan,581000.0,24,7.21,Debt Consolidation,Business Owner,39500.0,719,4300.0,10.89,Owned,"56/05, Sampath Road, Khammam-194887, Anand, Assam, 591697",29,Male,1,Approved,0,
cc387db1-b3f6-4db8-b06a-b09de032689a,CUST117029,2025-05-21,Education Loan,395000.0,120,9.92,Medical Emergency,Salaried,61800.0,718,2400.0,3.88,Rented,"870, Venkataraman Road, Udupi-770257, Raurkela Industrial Township, Kerala, 840789",22,Other,0,Approved,0,
d388f969-bbdc-4849-a4a6-e267163a0f73,CUST102945,2022-10-30,Personal Loan,612000.0,12,8.92,Business Expansion,Retired,21300.0,719,3900.0,18.31,Jointly Owned,"03/79, Desai Road, Faridabad-105689, Bhalswa Jahangir Pur, Punjab, 364964",53,Male,0,Approved,0,
